year,MSA,value
2001,Atlanta,0.08922029384722316
2001,Baltimore,0.08787783760752833
2001,Boston,0.07268375838689131
2001,Chicago,0.0789975430909605
2001,Columbus,0.08642346878531072
2001,Dallas,0.08770259450331097
2001,Denver,0.0881791208791209
2001,Detroit,0.08647861447976493
2001,Houston,0.08325766661749788
2001,Indianapolis,0.09407907468805611
2001,Jacksonville,0.09040624365356513
2001,LosAngeles,0.07598349372397972
2001,Miami,0.08103271374517967
2001,Minneapolis,0.08380516528775797
2001,NewYork,0.08360510153792095
2001,Philadelphia,0.09293483015223922
2001,Phoenix,0.08570940466795886
2001,SanAntonio,0.08307884661723836
2001,SanDiego,0.07330864201342951
2001,SanFrancisco,0.0674799814858144
2001,SanJose,0.0623131337518107
2001,Seattle,0.0822429615072417
2001,StLouis,0.08360951903938821
2001,Tampa,0.08735809043454958
2001,WashingtonDC,0.0905001854959018
2002,Atlanta,0.08598482740539456
2002,Baltimore,0.08352969267539359
2002,Boston,0.07775773430314563
2002,Chicago,0.08098445396331655
2002,Columbus,0.08545062527092852
2002,Dallas,0.0903016251511906
2002,Denver,0.08211780361230195
2002,Detroit,0.08430245078963175
2002,Houston,0.08623720848874346
2002,Indianapolis,0.08389750867499518
2002,Jacksonville,0.08090267693503625
2002,LosAngeles,0.07216801760215275
2002,Miami,0.08264872668526865
2002,Minneapolis,0.08751955864607462
2002,NewYork,0.0761492891602787
2002,Philadelphia,0.09812236859525088
2002,Phoenix,0.08253246268494598
2002,SanAntonio,0.08413517270980922
2002,SanDiego,0.07336868018332937
2002,SanFrancisco,0.06289142515331889
2002,SanJose,0.07087769507419095
2002,Seattle,0.07849155337672177
2002,StLouis,0.08336441584000075
2002,Tampa,0.08601320650230682
2002,WashingtonDC,0.08494940536787299
2003,Atlanta,0.07793711334466033
2003,Baltimore,0.07180249639805637
2003,Boston,0.07088204207501073
2003,Chicago,0.0707487464788152
2003,Columbus,0.08493404421634353
2003,Dallas,0.07982252183065469
2003,Denver,0.07490528484431577
2003,Detroit,0.08100123551531875
2003,Houston,0.0821007462575007
2003,Indianapolis,0.08082134005370137
2003,Jacksonville,0.07777590241111376
2003,LosAngeles,0.06743293165256298
2003,Miami,0.07428480231499039
2003,Minneapolis,0.07910280746298456
2003,NewYork,0.06914569565710132
2003,Philadelphia,0.08378930715549052
2003,Phoenix,0.0767592498996442
2003,SanAntonio,0.08293336795004788
2003,SanDiego,0.06637157324099716
2003,SanFrancisco,0.06479763097291492
2003,SanJose,0.061149523527240346
2003,Seattle,0.07114554035427745
2003,StLouis,0.08177789817586564
2003,Tampa,0.08011326382881016
2003,WashingtonDC,0.07434494250387086
2004,Atlanta,0.07070682752748852
2004,Baltimore,0.06719954680752843
2004,Boston,0.06916859200566355
2004,Chicago,0.07002329805516336
2004,Columbus,0.0764568630676736
2004,Dallas,0.07372301676849316
2004,Denver,0.07101637588903748
2004,Detroit,0.07699901621155393
2004,Houston,0.07725670835357043
2004,Indianapolis,0.06366945831355385
2004,Jacksonville,0.06915032738388005
2004,LosAngeles,0.06224127974547958
2004,Miami,0.06328540239134658
2004,Minneapolis,0.07697352916927817
2004,NewYork,0.06752736503278448
2004,Philadelphia,0.07674806523762981
2004,Phoenix,0.0687761815483198
2004,SanAntonio,0.07654480469891864
2004,SanDiego,0.05984784726823014
2004,SanFrancisco,0.0610454770522014
2004,SanJose,0.05613505479068965
2004,Seattle,0.06402733495080642
2004,StLouis,0.0791610882083108
2004,Tampa,0.07195517670501694
2004,WashingtonDC,0.06783738997753455
2005,Atlanta,0.06643053557135001
2005,Baltimore,0.0628299123727798
2005,Boston,0.06551461093973693
2005,Chicago,0.0667107309354767
2005,Columbus,0.0775255616867688
2005,Dallas,0.06876476936860385
2005,Denver,0.0596308005794719
2005,Detroit,0.0679356687522594
2005,Houston,0.07325499695421347
2005,Indianapolis,0.0727117877670591
2005,Jacksonville,0.06661982031081705
2005,LosAngeles,0.05606120940553005
2005,Miami,0.0626197140898518
2005,Minneapolis,0.06688369443276958
2005,NewYork,0.058997625455966124
2005,Philadelphia,0.06639510932731012
2005,Phoenix,0.06173527012175343
2005,SanAntonio,0.07416971623921235
2005,SanDiego,0.04849803075627505
2005,SanFrancisco,0.052658092378579074
2005,SanJose,0.05235617604861297
2005,Seattle,0.059494224539241
2005,StLouis,0.07132896494690341
2005,Tampa,0.06660815013288282
2005,WashingtonDC,0.060355249978562675
2006,Atlanta,0.06427118122221012
2006,Baltimore,0.05736374038325963
2006,Boston,0.06281292673613317
2006,Chicago,0.06319874705055983
2006,Columbus,0.06936521715154284
2006,Dallas,0.06747935300972116
2006,Denver,0.05732643801676503
2006,Detroit,0.06880004129013427
2006,Houston,0.07085785936697363
2006,Indianapolis,0.07329498373748258
2006,Jacksonville,0.06893242145001371
2006,LosAngeles,0.0523475696943885
2006,Miami,0.052167299200046896
2006,Minneapolis,0.0592044826974502
2006,NewYork,0.048954799066778534
2006,Philadelphia,0.06497089219327502
2006,Phoenix,0.05566208961817435
2006,SanAntonio,0.07225407568497938
2006,SanDiego,0.047994932449417674
2006,SanFrancisco,0.04908083606154387
2006,SanJose,0.052774219537589324
2006,Seattle,0.054207191028897726
2006,StLouis,0.0723970069134616
2006,Tampa,0.05914529276860607
2006,WashingtonDC,0.0567847016821694
2007,Atlanta,0.06267703521627008
2007,Baltimore,0.059084243991256676
2007,Boston,0.05977469912223788
2007,Chicago,0.057693785121391276
2007,Columbus,0.06907794799230628
2007,Dallas,0.06958372390927915
2007,Denver,0.05627684151933378
2007,Detroit,0.0702448357107264
2007,Houston,0.06919819646086432
2007,Indianapolis,0.06461732846345769
2007,Jacksonville,0.07011399852837953
2007,LosAngeles,0.05233964012217425
2007,Miami,0.06039615051860647
2007,Minneapolis,0.06414460976015503
2007,NewYork,0.04676440917774245
2007,Philadelphia,0.060201919747482124
2007,Phoenix,0.05493665888618837
2007,SanAntonio,0.06825722015823588
2007,SanDiego,0.05141337124598983
2007,SanFrancisco,0.05145782636210325
2007,SanJose,0.050788339875962527
2007,Seattle,0.05451459652410675
2007,StLouis,0.07163430800974348
2007,Tampa,0.061944378569654124
2007,WashingtonDC,0.0582071982710479
2008,Atlanta,0.0610247168913282
2008,Baltimore,0.059867144543694205
2008,Boston,0.0604283181588704
2008,Chicago,0.06463806612408576
2008,Columbus,0.07096500842312473
2008,Dallas,0.07113563780591842
2008,Denver,0.06400254174677035
2008,Detroit,0.0821681435613416
2008,Houston,0.06840623537402943
2008,Indianapolis,0.07519687382598472
2008,Jacksonville,0.07273316093284682
2008,LosAngeles,0.053778598348794455
2008,Miami,0.06763141022300065
2008,Minneapolis,0.06842418033786238
2008,NewYork,0.05785045295319715
2008,Philadelphia,0.06324300162628115
2008,Phoenix,0.05870633575589808
2008,SanAntonio,0.0739805216616756
2008,SanDiego,0.05556734014395035
2008,SanFrancisco,0.051473629391295676
2008,SanJose,0.05897506543794537
2008,Seattle,0.0546682398575024
