,Coef.,Std.Err.,Z,${P>|z|}$,[0.025,0.975]
HH Growth,-2.3549,1.028,-2.291,0.036,-4.534,-0.176
Intercept,0.5422,0.165,3.294,0.005,0.193,0.891
