OOS in Year,accuracy,precision,recall,F1-score,specificity
2000,0.76,0.55,0.5,0.52,0.85
2004,0.75,0.53,0.5,0.51,0.84
2008,0.77,0.54,0.54,0.54,0.85
2012,0.78,0.56,0.56,0.56,0.85
2016,0.75,0.5,0.6,0.55,0.8
all-time,0.7,0.67,0.41,0.51,0.88
