year,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],accuracy,precision,recall,f_score,specificity
2000,2.1972245773362165,1.0540925533894623,2.084470258584966,0.03711741281108425,0.13124113632101406,4.26320801835142,0.7619047619047606,0.549999999999999,0.5,0.523809523809525,0.8548387096774195
2004,1.7334618466450002,0.767074760129062,2.2600170757624323,0.024068851813938613,0.23002294334233991,3.236900749947664,0.75,0.5294117647058835,0.5,0.5142857142857141,0.840000000000002
2008,1.3542877761633318,0.5610466513533484,2.4155932436802803,0.017542351301428984,0.2546565458639683,2.4539190064626903,0.769230769230769,0.5384615384615397,0.5384615384615397,0.5384615384615397,0.8461538461538448
2012,1.225748344004567,0.46452110390237167,2.6411772650522978,0.010037457607862904,0.3153037102971292,2.136192977712005,0.7777777777777771,0.5555555555555567,0.5555555555555567,0.5555555555555567,0.8518518518518517
2016,1.2973142227267278,0.4266403495124751,3.042855879017186,0.0029896736084298876,0.46111450333069703,2.1335139421227596,0.75,0.5,0.600000000000001,0.5454545454545463,0.7999999999999985
all_time,1.2100061781175513,0.36042071074756055,3.359508729399335,0.0011328265399497884,0.503594565770004,1.9164177904650983,0.75,0.5,0.600000000000001,0.5454545454545463,0.7999999999999985
